,belonging,Lng,Lat,Cid,followers,totalPrice,price,square,livingRoom,drawingRoom,kitchen,bathRoom,buildingType,constructionTime,renovationCondition,buildingStructure,ladderRatio,elevator,fiveYearsProperty,subway,district,communityAverage,year,month,day,floor_num,relativeHeight,buildingType_towel,buildingType_bungalow,buildingType_comb,buildingType_plate,house_cnt,mall_cnt
belonging,1.0,-0.225562274153665,-0.24468167708326977,-0.06791114770414601,0.06058045137689164,0.3711277589104978,0.42014365426470457,-0.3062977042395485,-0.33276981660022736,-0.32327894417801856,0.024789040576593698,-0.24617213376449026,-0.3791127604507068,-0.3283995280775746,0.051077297093822915,0.1352900092771557,-0.339054488019105,0.15702969629976088,0.3114146905724761,0.3749454286987154,-0.332299538657031,0.4018550491017654,-0.16538453103898368,0.1613407719509394,0.17973794244943023,0.24196143111365834,-0.09253837971791276,0.36526656024818555,0.037018979455084276,0.10876487146010941,-0.35260676530809426,0.03921937464734734,-0.023547737706587107
Lng,-0.225562274153665,1.0,0.03416886577716788,-0.04175444362487878,-0.15376614252981322,-0.0729224741259006,-0.10222742793041074,0.11637909057037571,0.08485916775411485,0.2569279679095603,0.29429867639705914,0.2001371830560857,-0.046880508632965806,0.018658489961372808,-0.2060946445259383,0.0334719010789512,0.033253653997959993,0.06972968791671984,0.10604664657485978,-0.03853616224020514,0.1850739376605726,-0.028200954487204555,-0.3786377579908808,-0.09801020271623324,0.06966882770719214,-0.05070889927855444,0.2006427225702181,-0.0027223013152360555,0.014138631961162872,0.2017464520376618,-0.11869684383545155,0.12314956928299209,0.06134286416991568
Lat,-0.24468167708326977,0.03416886577716788,1.0,-0.17157995738937157,0.06441757740604032,-0.07897821401388566,-0.1209495853624188,0.08920623119536238,0.1383545908809243,0.12365205663520192,-0.006027691001577274,0.16290324429674558,0.24107837570357987,0.007353138979377082,0.009448944983656437,-0.29835031153612857,0.08294288079381015,-0.14984040516004407,0.02562971501953282,-0.24313307956926253,0.3344153066173795,-0.11290082466596604,0.13341551785719977,0.10242947449462787,-0.2011702235553738,-0.31716406877810777,0.024321056255545374,-0.21692357531707365,-0.01503165365980827,-0.13015624025610442,0.24848352253123276,0.022144383199251754,-0.10041982612946615
Cid,-0.06791114770414601,-0.04175444362487878,-0.17157995738937157,1.0,-0.013087353441125823,-0.020716894605835767,-0.040759062771361106,0.02775225331271585,0.17691723482026236,0.04998885129215413,0.022485881869394264,0.04097177780833649,0.09631519092523586,0.15218531583995057,-0.059632039357310394,0.11021430193249583,0.13416853157361125,0.12300271979541277,-0.20364341321731966,0.09384046980563741,-0.06866977657204061,-0.06584478412265986,0.16332636497067593,0.024829427604219523,0.0458783177635888,0.2550515382384809,-0.04250550573815082,-0.07957383765473486,-0.01291304740844017,-0.07957715503861627,0.11030203550014206,-0.04671182781900556,-0.051565436741813075
followers,0.06058045137689164,-0.15376614252981322,0.06441757740604032,-0.013087353441125823,1.0,-0.08795879370324423,0.06872267178343058,-0.17927360123796962,-0.28215477450734694,-0.10427395567646074,0.06274271297314936,-0.0813353055978071,0.258950222128501,0.018277157306372513,0.533680059181449,-0.09711433162529697,-0.054529429830590066,-0.1747069247550978,-0.30394398141209494,-0.1712040753647808,-0.287037151353913,-0.046843752119083204,0.582188765485446,0.01157471974481775,0.41825321496881335,-0.18777936100993312,0.3967711671399148,-0.21877297144217106,-0.022074964942706013,-0.19559120463435198,0.2891692519529495,-0.15199885744595315,-0.1150787561138127
totalPrice,0.3711277589104978,-0.0729224741259006,-0.07897821401388566,-0.020716894605835767,-0.08795879370324423,1.0,0.8142856951990483,0.03881525407736173,0.005020578321391017,-0.043951350203457716,0.09389815742493021,0.08442648547282573,-0.3159359890721491,-0.22673884628916663,0.050771710752324464,0.19992299458594262,-0.21337191114566897,0.23808544366190645,0.19753547746347758,0.48842791664235347,-0.04632165819367859,0.7849231994287048,-0.14954723742864703,0.0671620948728863,0.2251478624056809,0.20285486811405012,-0.13740109570459308,0.2804745598502921,0.18265545106436742,0.17657727612648916,-0.32893092394140816,-0.008765366628994999,0.02547830897940112
price,0.42014365426470457,-0.10222742793041074,-0.1209495853624188,-0.040759062771361106,0.06872267178343058,0.8142856951990483,1.0,-0.502230026515712,-0.33866952764247094,-0.46245790172909224,0.11129238152805078,-0.37920574949184216,-0.27927701147533646,-0.5991384968840519,0.017221718446696503,-0.07770169572078392,-0.450411428806743,-0.006763047745686139,0.3587964861591326,0.6011524925930435,-0.11656214735712474,0.9750162314897364,-0.19231155133099198,0.14538489345428726,0.285006921641392,0.032724854916706736,-0.012812245536668805,0.24212113747278247,0.31572473271813645,0.17047163675029045,-0.29734517795312493,-0.04620203949278047,0.008759884012590171
square,-0.3062977042395485,0.11637909057037571,0.08920623119536238,0.02775225331271585,-0.17927360123796962,0.03881525407736173,-0.502230026515712,1.0,0.701573017318175,0.8190440109041116,-0.07554758985313552,0.8738297163165827,0.09869887506271563,0.6901692432509353,0.051009214422592035,0.3578558356997672,0.4776855652865042,0.2760679126377375,-0.40520151809322524,-0.37164745164980373,0.15294268265218075,-0.49576177884508255,0.11913475155906758,-0.18409700527769962,-0.13241135217344718,0.12197464296312505,-0.0731676781106505,-0.07829332444752535,-0.17490577986330919,-0.08542963914073531,0.11546915519916068,0.03069475126903592,-0.01285365959611226
livingRoom,-0.33276981660022736,0.08485916775411485,0.1383545908809243,0.17691723482026236,-0.28215477450734694,0.005020578321391017,-0.33866952764247094,0.701573017318175,1.0,0.6624144696940674,-0.04683954061053698,0.6383866794420238,0.35822651283267654,0.3508104511205973,-0.23610580804622375,0.09546963383085975,0.46551761582583623,0.003076413716689868,-0.3120113898632935,-0.31701257597777666,0.22482770453522993,-0.33617828529183685,0.08933271846613756,-0.0874419519827209,-0.21402154766936257,-0.13732932320614352,-0.06474226773099567,-0.31351344007201787,-0.02015623742050952,-0.2283023110436777,0.38312618133265763,-0.1037863345575982,-0.13700431975454466
drawingRoom,-0.32327894417801856,0.2569279679095603,0.12365205663520192,0.04998885129215413,-0.10427395567646074,-0.043951350203457716,-0.46245790172909224,0.8190440109041116,0.6624144696940674,1.0,0.028456906054184772,0.8101849150859346,0.22365117535840534,0.592208534877467,-0.04660675912278281,0.24772778855587146,0.5056468162347553,0.21833903898231533,-0.3555961278790316,-0.36817231129496797,0.1824268320678626,-0.4315159300662765,0.00547438592185122,-0.12351306541423228,-0.13809526695902857,0.0209761020060084,0.016691550585514584,-0.22768238418606976,-0.14607892872183756,-0.009200291673092057,0.18679363281760666,0.0285534071136942,-0.053445920716107626
