,belonging,totalPrice,price,square,buildingType,constructionTime,buildingStructure,elevator,subway,communityAverage,floor_num,house_cnt
belonging,1.0,0.3711277589104977,0.42014365426470474,-0.30629770423954844,-0.3791127604507067,-0.32839952807757516,0.1352900092771561,0.15702969629976096,0.37494542869871544,0.40185504910176545,0.24196143111365856,0.039219374647347316
totalPrice,0.3711277589104977,1.0,0.8142856951990481,0.03881525407736174,-0.3159359890721489,-0.22673884628916582,0.19992299458594268,0.23808544366190645,0.48842791664235347,0.7849231994287047,0.2028548681140504,-0.008765366628995009
price,0.42014365426470474,0.8142856951990481,1.0,-0.502230026515712,-0.2792770114753365,-0.5991384968840514,-0.07770169572078385,-0.006763047745686113,0.6011524925930435,0.9750162314897362,0.032724854916706896,-0.04620203949278048
square,-0.30629770423954844,0.03881525407736174,-0.502230026515712,1.0,0.09869887506271563,0.6901692432509356,0.3578558356997671,0.27606791263773744,-0.3716474516498037,-0.49576177884508243,0.12197464296312492,0.030694751269035925
buildingType,-0.3791127604507067,-0.3159359890721489,-0.2792770114753365,0.09869887506271563,1.0,0.2155899379463052,-0.37100440418429215,-0.5143613777525343,-0.4590910210455924,-0.3245523923315141,-0.6400144915639726,-0.25217822115482036
constructionTime,-0.32839952807757516,-0.22673884628916582,-0.5991384968840514,0.6901692432509356,0.2155899379463052,1.0,0.5676022472900382,0.36215791457396596,-0.4871458218328263,-0.6304647836947135,0.2487040769201059,-0.03267265632020128
buildingStructure,0.1352900092771561,0.19992299458594268,-0.07770169572078385,0.3578558356997671,-0.37100440418429215,0.5676022472900382,1.0,0.7679674543284644,0.07755734079967484,-0.11700438320307492,0.6388431144299506,-0.008172986956579042
elevator,0.15702969629976096,0.23808544366190645,-0.006763047745686113,0.27606791263773744,-0.5143613777525343,0.36215791457396596,0.7679674543284644,1.0,0.15744508119635733,0.017750517747883103,0.7228825037422891,0.12860321334649197
subway,0.37494542869871544,0.48842791664235347,0.6011524925930435,-0.3716474516498037,-0.4590910210455924,-0.4871458218328263,0.07755734079967484,0.15744508119635733,1.0,0.6089132565759152,0.2923063081547965,0.13780417829168312
communityAverage,0.40185504910176545,0.7849231994287047,0.9750162314897362,-0.49576177884508243,-0.3245523923315141,-0.6304647836947135,-0.11700438320307492,0.017750517747883103,0.6089132565759152,1.0,0.01785746255133201,-0.0034259008473872003
floor_num,0.24196143111365856,0.2028548681140504,0.032724854916706896,0.12197464296312492,-0.6400144915639726,0.2487040769201059,0.6388431144299506,0.7228825037422891,0.2923063081547965,0.01785746255133201,1.0,0.23261280271291623
house_cnt,0.039219374647347316,-0.008765366628995009,-0.04620203949278048,0.030694751269035925,-0.25217822115482036,-0.03267265632020128,-0.008172986956579042,0.12860321334649197,0.13780417829168312,-0.0034259008473872003,0.23261280271291623,1.0
