,name,longitude,latitude
0,1733商业空间,116.407387,39.904179
2,BHG Mall(公益西桥店),116.311151,40.029084
3,BHG Mall北京华联亦庄购物中心,116.50193,39.80546
4,BHG Mall北京华联购物中心(天时名苑店),116.311258,40.028684
5,BOM嘻番里,116.353832,40.001771
6,KALCITY能量城市,116.280921,39.953787
7,NTP新城广场,116.421973,39.868456
8,New World Shopping Mall,116.4177847,39.8966993
9,Plus365购物中心(门头沟店),116.595752,39.912366
11,SOLANA蓝色港湾,116.475922,39.949382
12,T+MALL,116.454751,39.932155
13,THE BOX朝外年轻力中心,116.444814,39.923495
16,西单明珠商场,116.3761846,39.9104099
17,k酷时尚广场,116.420089,40.032862
18,一起来生活MALL,116.242945,40.220191
19,七棵树商场,116.094355,39.953457
20,万优汇Unit One,116.414299,40.055948
21,万德福广场,117.093136,40.147772
22,万意百货(回龙观店),116.334808,40.079674
24,万泽经海广场,116.562726,39.782265
25,万科广场(旧宫店),116.264973,39.882346
26,万科时代中心(朝阳路店),116.484326,39.990909
27,万达广场,116.298886,39.824598
28,万达广场(CBD店),116.225303,39.906431
29,万鑫佰隆购物商城,116.591607,39.916911
30,万龙商场(安立路店),116.408166,39.993585
31,三旗百汇商品城,116.340144,40.061358
33,三羊生活广场,116.523935,39.821879
34,三里屯SOHO,116.453502,39.932257
35,三里屯太古里,116.452962,39.934474
36,上品+(城市奥莱店),116.358333,39.850955
37,上品+互联网社区奥莱(草桥店),116.290609,39.844952
38,上品宜购城市奥莱,116.41745,40.031125
39,上海沙龙新天地天宝商业中心,116.498734,39.791723
40,世界之花假日广场,116.422891,39.820155
41,世纪园商城(商业街店),116.634772,40.314286
42,世纪天鼎购物广场,116.401764,39.89162
43,世纪家家福生活广场(和义店),116.402825,39.813541
44,世纪金源购物中心,116.288301,39.958603
46,世纪隆购物中心,117.115629,40.147239
47,世茂广场(工三店),116.449383,39.935099
48,世贸天阶,116.452017,39.916492
50,东升生活广场,115.967144,39.758531
53,东方天作商城,116.662309,39.865903
55,东方新天地,116.414498,39.909473
59,东环广场,116.435968,39.937226
60,中关村壹号,116.247329,40.076091
61,中关村广场购物中心,116.313091,39.981397
63,中关村领展广场,116.314538,39.979182
65,中商华贸商厦,116.598817,39.912562
67,中国第一商城,116.470721,39.915663
69,中复电迅商场,116.41064,39.921683
71,中昂时代广场,116.095919,39.944315
73,中福万合广场,116.308093,39.909317
74,中福百货(望京店),116.463629,40.000569
75,中粮·祥云小镇,116.537301,40.088227
76,中粮广场,116.429877,39.907018
77,中踏广场,115.976231,40.460086
80,丰体时代商城,116.271118,39.867205
81,丰台大悦春风里,116.36466,39.810084
82,丰联广场,116.438475,39.923738
83,丽泽16号购物中心,116.312761,39.876181
84,丽泽天地,116.334537,39.866546
85,丽都广场-商业,116.47846,39.977185
86,久隆百货(酒仙桥店),116.494903,39.961618
87,乐友易世达广场(易事达广场店),116.339693,39.737211
88,乐天银泰百货,116.41175,39.916326
89,乐客安商城,116.464383,39.996373
90,乔庄商场,116.688163,39.893101
93,五交化商场,116.634116,40.31460999999999
94,五棵松购物中心,116.276665,39.912583
95,五道口购物中心,116.3392904,39.9925181
96,亚特商场,116.341999,39.726264
97,亦庄创意生活广场,116.50626,39.810932
99,京力港商城,116.104399,39.937501
100,京北大世界,116.632241,40.31532
101,京妮儿童汇(通州华业店),116.415506,40.068152
102,京投港·长阳购物中心,116.212914,39.763023
103,京果商厦,116.345804,39.96034
104,京汉生活广场,116.66362,40.134829
105,京泰购物广场,116.462038,39.992998
106,京港城生活广场,116.414497,39.840509
107,京粮广场,116.253898,39.930845
108,京西大悦城,116.183412,39.925501
109,京通罗斯福,116.658551,39.889035
110,京颐商场,116.315028,39.932867
111,京饮华天商厦,116.341331,39.913638
113,亿兆百货,116.397877,39.896716
114,亿利生态广场,116.47074,39.914389
115,亿发购物中心,116.291624,39.783367
116,亿客达自选商场,116.821478,39.676826
117,亿旺商场,116.2919413,40.1464741
118,亿潼隆万丰购物中心,116.296283,39.873018
120,亿达·圣元荟ONE PLAZA,116.653725,39.907395
121,亿达·奥特莱斯,115.983839,39.699428
123,会达万通商城,116.846276,40.377719
124,传奇生活广场,116.476483,39.887205
125,佳亿·青年汇,116.517166,39.921649
126,佳亿时尚广场,116.458441,39.949965
127,佳莲时代广场,116.230316,40.224295
128,佳运广场(立军路店),116.403999,40.046937
129,侨福芳草地,116.449285,39.919803
130,兆佳商场,116.455596,39.881834
131,光耀东方广场,116.32225,39.899217
133,公园大道生活广场,116.414384,40.103783
134,六工汇购物广场,116.156233,39.915306
135,共享际(国贸店),116.300394,39.812044
136,兴业商业广场,116.367137,40.082992
138,兴民商场,116.322373,39.7308
143,凤凰汇购物中心,115.973542,40.4589
144,凯德MALL,116.352875,39.941619
145,凯德MALL(大峡谷店),116.366142,39.854165
146,凯德晶品购物中心,116.297451,39.908102
147,凯时广场,116.339434,40.001426
148,利生体育商厦,116.410545,39.916601
149,劲松百货商场,116.455928,39.88411
150,北京SKP,116.478876,39.910067
151,北京apm,116.411692,39.914252
152,北京世茂百货,116.4493987,39.9341942
153,北京东方广场,116.414316,39.909603
154,北京中大瑞祥百货,116.135495,39.730593
155,北京中粮广场购物中心,116.429935,39.907633
156,北京丽泽天街,116.334369,39.866687
158,北京佳润发商城,116.7887606,40.3651452
159,北京侨福芳草地,116.448621,39.919524
160,北京光彩商场,116.415257,39.853093
162,北京华硕中心长西商场,116.362015,39.898619
164,北京华联万柳购物中心,116.29523,39.973062
165,北京友谊商店,116.443088,39.909089
167,北京君太百货,116.373655,39.909465
168,北京嘉里中心,116.45963,39.914045
169,北京国体商城,116.397063,39.86495499999999
170,北京坊,116.3954,39.89871
171,北京姚家园万象汇,116.421537,39.965021
172,北京安贞环宇荟,116.406337,39.977871
173,北京密红发商城,116.8208188,40.3754976
174,北京富力广场,116.460945,39.8955905
177,北京市复兴商业城,116.351718,39.90684299999999
178,北京市大新亚商场,116.341953,39.7264
180,北京市新世纪商城回龙观新晨商场,116.378143,40.056922
181,北京市新城百货商场,116.657771,39.904895
183,北京市沙河百货商场,116.267697,40.132532
185,北京市百货大楼(王府井店),116.410131,39.913779
186,北京市通州光明商场,116.668324,39.908227
188,北京市顺义力源商场,116.496852,40.171835
189,北京帝园商城(黄村东大街店),116.34055,39.732222
190,北京延庆万达广场,115.984571,40.474098
191,北京建外环宇荟,116.162101,39.922948
192,北京悦荟(南环路店),116.239161,40.212115
194,北京新世界利莹百货,116.4803333,39.9866667
195,北京新世界商场,116.417516,39.896512
196,北京新昌百商场,116.2330302,40.2243952
197,北京方庄购物中心,116.428819,39.865496
198,北京明发广场,116.325612,39.68785
201,北京熙悦天街,116.184867,39.732991
202,北京燕莎奥特莱斯,116.488839,39.878694
203,北京环球城市大道Universal CityWalk Beijing,116.677137,39.851692
204,北京百货公司第一商场,116.430744,39.932674
205,北京百货大楼集团新业商场,116.421957,39.897961
206,北京百龙天安商场西门,116.400412,39.900758
207,北京石景山万达广场,116.226867,39.905826
208,北京缤纷汇购物中心,116.459256,39.894014
209,北京菜市口生活购物广场,116.367185,39.888872
211,北京赛尔奥特莱斯商业广场,116.323761,39.828993
212,北京赛特奥莱,116.50374,40.035655
214,北京鑫志利华百货,116.662124,40.112368
215,北京银泰中心in01(建国门外大街店),116.459374,39.907557
216,北京长安天街,116.123328,39.905131
217,北京馨港购物商场,116.666081,40.034398
219,北投购物公园,116.401772,39.978941
220,北辰荟,116.387761,40.003452
222,千禧商业街,116.283342,39.890064
223,半壁店商业广场,116.637096,39.880818
224,华冠·欢乐城,115.964609,39.618375
225,华冠天地(房山城关店),116.069472,39.649172
226,华冠生活购物广场(窦店),115.961669,39.726964
227,华冠购物中心(良乡店),116.139337,39.735063
228,华创生活广场(安立路店),116.372488,40.010122
229,华发颐园商业中心,116.414275,40.043611
230,华堂商场,116.3376445,39.7580266
231,华夏幸福创新中心·特色商街,116.301559,39.823149
232,华威商场,116.374707,39.911162
235,华宇时尚购物中心,116.323417,39.965368
236,华尚金泰广场,116.212845,39.76148
237,华瀚商业中心,116.49649,39.876371
238,华燕商贸诚信商场,116.4401464,40.0861174
239,华睦生活广场,116.324665,39.883596
240,华联商厦,116.339293,39.991913
241,华联购物中心,116.5522686,39.8301707
242,华联顺义金街购物中心,116.6511463,40.1205729
243,华腾新天地,116.487852,39.886067
244,华荣商场,116.189459,39.910693
246,华谊生活广场,116.846553,40.377581
247,华贸天地,116.430521,40.048137
248,华贸广场,116.479971,39.909987
250,华远好天地中心,116.695835,39.870883
251,南绍商场,116.28791,40.207454
252,博泰国际商业广场,116.466738,40.002243
254,双信商城(东关店),115.981736,40.461942
255,双信大型百货商城(恒生超级批发市场店),115.989576,40.466482
256,双安商场,116.3253301,39.9668717
