name,latitude,longitude
三里屯太古里,39.934474,116.452962
SKP,39.910481,116.479081
合生汇,39.894063,116.47944
国贸商城,39.910882,116.459288
三里屯SOHO,39.932257,116.453502
西单大悦城,39.910649,116.373528
朝阳大悦城,39.924728,116.517717
燕莎奥特莱斯购物中心,39.877498,116.487321
荟聚,39.790133,116.327138
侨福芳草地,39.919803,116.449285
超极合生汇,40.09693,116.292718
合憬荟,39.904179,116.407387
凯德MALL(西直门店),39.854165,116.366142
王府井银泰in88,39.915746,116.411823
APM,39.915173,116.411697
百荣世贸商城,39.860897,116.398399
万达广场(通州店),39.906431,116.225303
王府中環,39.912438,116.40956
THE BOX朝外年轻力中心,39.923495,116.444814
上品+(城市奥莱店),39.850955,116.358333
SOLANA蓝色港湾,39.949382,116.475922
花乡奥莱村,39.827593,116.324004
凯德MALL(望京店),39.854165,116.366142
龙湖北京长楹天街,39.924862,116.598837
世贸天阶,39.916492,116.452017
华熙LIVE(五棵松店),39.904179,116.407387
万达广场(CBD店),39.906431,116.225303
五道口购物中心,39.991922,116.339336
北京市百货大楼(王府井店),39.913779,116.410131
老佛爷百货,39.914132,116.374891
八达岭奥莱,40.234519,116.169923
王府井奥莱UP TOWN,39.916227,116.411815
新世界百货(崇文门店),39.904179,116.407387
万达广场(丰科店),39.906431,116.225303
来福士中心,39.939697,116.432683
西单明珠商场,39.910393,116.375909
潘家园旧货市场,39.875426,116.458263
汉光百货,39.909408,116.375191
清河万象汇,40.030181,116.334435
王府井奥莱·香江小镇,40.035509,116.505252
银河SOHO购物中心,29.003295,116.697545
国象商业,40.071139,116.133841
银座mall(东直门店),39.940173,116.435484
北京环球城市大道Universal CityWalk Beijing,39.851692,116.677137
北京华联购物中心(天通苑店),40.028684,116.311258
北京嘉里中心,39.914045,116.45963
凯德MALL(太阳宫店),39.854165,116.366142
万达广场(东坝店),39.906431,116.225303
新街口百货商场,39.940196,116.372227
新中关购物中心,39.978335,116.315277
欧陆广场,40.066852,116.546838
丽泽16号购物中心,39.876181,116.312761
上品折扣(回龙观店),39.904179,116.407387
西三旗万象汇,40.061826,116.366266
少女百货(西单更新场店),39.904179,116.407387
新燕莎MALL,39.904179,116.407387
六工汇购物广场,39.915306,116.156233
万达广场(五棵松店),39.906431,116.225303
王府井U生活中心(右安门店),39.872068,116.364679
悠唐购物中心,39.921623,116.438951
印象城,38.910857,121.60876
万达广场(石景山店),39.906431,116.225303
西北旺万象汇,40.04904,116.259961
西单购物中心,39.911494,116.374567
北京银泰中心in01(建国门外大街店),39.907557,116.459374
世纪金源购物中心,39.958603,116.288301
颐堤港,39.969858,116.491318
银泰百货(大红门店),39.916009,116.412259
北京丽泽天街,39.866687,116.334369
秀水街,39.910584,116.438849
龙湖北京大兴天街,39.686812,116.320202
万达广场(西铁营店),39.906431,116.225303
东方新天地,39.909473,116.414498
凯德MALL(大峡谷店),39.854165,116.366142
新世界百货(望京店),39.904179,116.407387
万达广场(槐房店),39.906431,116.225303
龙德广场,40.059723,116.415538
斯普瑞斯奥特莱斯,40.011221,116.596194
天桥百货商场,39.886517,116.398526
BHG Mall(顺义店),40.029084,116.311151
京西大悦城,39.925501,116.183412
银座和谐广场,39.882318,116.297342
1733商业空间,39.904179,116.407387
印象城(房山店),38.910857,121.60876
金融街购物中心,39.915619,116.361563
双安商场,39.966354,116.325813
T+MALL,39.932155,116.454751
物美新街口中心,39.940196,116.372227
万达广场(双桥店),39.906431,116.225303
凤凰汇购物中心,40.4589,115.973542
BHG Mall北京华联购物中心(天时名苑店),40.028684,116.311258
华贸购物中心,39.909092,116.480817
远洋未来汇,29.531983,106.469527
玖安广场,39.952121,116.408915
龙湖北京北苑天街,40.042793,116.438524
永旺梦乐城(北京丰台店),39.817953,116.29207
王府井喜悦,39.916227,116.411815
中关村领展广场,39.979182,116.314538
北京君太,39.904179,116.407387
新世界百货(顺义店),39.904179,116.407387
山姆会员商店,39.81101,116.505971
花花世界(望京东路店),39.904179,116.407387
首创郎园Station,39.968311,116.515924
丰台大悦春风里,39.810084,116.36466
北京华联万柳购物中心,39.973062,116.29523
上品+互联网社区奥莱(草桥店),39.844952,116.290609
中粮广场,39.907018,116.429877
少女百货,39.904179,116.407387
丽泽天地,39.866546,116.334537
新番时光里,39.984879,116.490323
燕莎友谊商城(亮马桥店),39.948858,116.463019
喜隆多Xirondo Plaza,23.124346,113.269024
青春万达广场(怀柔区店),39.906431,116.225303
龙湖北京亦庄天街,39.753035,116.492452
光耀东方广场,39.899217,116.32225
上品宜购城市奥莱,40.031125,116.41745
悦街(中粮·京西祥云店),39.801245,116.218585
北京姚家园万象汇,39.965021,116.421537
北京富力广场(东三环中路店),39.895453,116.460622
隆华奥特莱斯购物广场,40.128497,116.642237
BOM嘻番里,40.001771,116.353832
北辰荟,40.003452,116.387761
甘家口商场(三里河店),39.927893,116.328527
新地佰商场,40.778015,116.568108
时代Life(方庄时代生活广场店),39.894584,116.575769
五棵松购物中心,39.912583,116.276665
绿地缤纷城(大兴店),39.764158,116.33415
燕隆汇生活广场,39.711134,116.062204
瀛海环宇坊,39.758038,116.448613
翠微百货(复兴路店),39.904179,116.407387
永安路百货商场,39.88636,116.39167
天虹百货(宣武店),39.904179,116.407387
北京通州领展广场,39.888519,116.658551
中关村壹号,40.076091,116.247329
北投购物公园,39.978941,116.401772
北京方庄购物中心,39.865496,116.428819
大族广场Mall&More,39.791811,116.512841
翠微百货(牡丹园店),39.904179,116.407387
泰华龙旗购物中心,39.904179,116.407387
北京熙悦天街,39.732991,116.184867
百盛(复兴门店),39.904179,116.407387
爱工场北化机Mall,31.332036,121.427075
华宇时尚购物中心,39.965368,116.323417
