percentage_range,buildingType_plate
0.0%~2.0%,0.9916666666666666
2.0%~4.0%,1.0
4.0%~6.0%,0.8921052631578947
6.0%~8.0%,0.9255015769802565
8.0%~10.0%,0.8785400434863817
10.0%~12.0%,0.8431536058937855
12.0%~14.0%,0.8551068883610451
14.0%~16.0%,0.8443099442384163
16.0%~18.0%,0.8008075704788071
18.0%~20.0%,0.7069482625936541
20.0%~22.0%,0.6644043250228038
22.0%~24.0%,0.557493044186763
24.0%~26.0%,0.4944056449668565
26.0%~28.0%,0.3772323206501696
28.0%~30.0%,0.3532642126982356
30.0%~32.0%,0.4007854603058245
32.0%~34.0%,0.527816456942866
34.0%~36.0%,0.45150221911182375
36.0%~38.0%,0.6262490031056488
38.0%~40.0%,0.497597666103238
40.0%~42.0%,0.5558943991462414
42.0%~44.0%,0.42778700822694377
44.0%~46.0%,0.43324140168721603
46.0%~48.0%,0.3526654950205038
48.0%~50.0%,0.4316865212292113
50.0%~52.0%,0.5042543483605516
52.0%~54.0%,0.4706209338610564
54.0%~56.0%,0.41352846625632245
56.0%~58.0%,0.5648111137223089
58.0%~60.0%,0.4982605771068832
60.0%~62.0%,0.5620165495192756
62.0%~64.0%,0.22733774271106166
64.0%~66.0%,0.5239832995250259
66.0%~68.0%,0.4744864148442677
68.0%~70.0%,1.0
70.0%~72.0%,0.6329102473216952
72.0%~74.0%,0.8456591639871383
74.0%~76.0%,0.7658714342652168
76.0%~78.0%,0.6875363040411585
78.0%~80.0%,0.3905133203378817
80.0%~82.0%,0.7567567567567568
84.0%~86.0%,0.5427872860635696
86.0%~88.0%,0.7622474266107511
88.0%~90.0%,0.572822299651568
98.0%~100.0%,0.8093812375249501
