percentage_range,buildingType_plate
0.0%~2.5%,0.891097351010833
2.5%~5.0%,1.0
5.0%~7.5%,0.7362385621538613
7.5%~10.0%,0.6504545454545455
12.5%~15.0%,0.6205673758865248
15.0%~17.5%,0.4566133108677337
20.0%~22.5%,0.5883018095295708
22.5%~25.0%,0.86468200270636
25.0%~27.5%,0.6839833329053807
27.5%~30.0%,0.5332254458016185
30.0%~32.5%,0.3221690590111642
32.5%~35.0%,0.5828168618523211
35.0%~37.5%,0.5787654320987654
37.5%~40.0%,0.5431493500438278
40.0%~42.5%,0.7755917274700997
42.5%~45.0%,0.5428171118862027
45.0%~47.5%,0.6810308453324989
47.5%~50.0%,0.6565664782018688
50.0%~52.5%,0.1896551724137931
52.5%~55.0%,0.7357992896699154
55.0%~57.5%,0.438373253493014
57.5%~60.0%,0.5966042260468776
60.0%~62.5%,0.4219477111132532
62.5%~65.0%,0.559111256681218
65.0%~67.5%,0.4241768951583557
67.5%~70.0%,0.4968152866242038
70.0%~72.5%,0.5866383465423236
72.5%~75.0%,0.7397978768149172
75.0%~77.5%,0.5644337059804331
77.5%~80.0%,0.39516855653080835
80.0%~82.5%,0.3954186158513743
82.5%~85.0%,0.5898784749428925
85.0%~87.5%,0.6432811835667329
87.5%~90.0%,0.47364206635672323
90.0%~92.5%,0.27460641125058666
92.5%~95.0%,0.5258877548585005
95.0%~97.5%,0.39618624362907706
97.5%~100.0%,0.610364672524575
