percentage_range,buildingType_towel
0.0%~5.0%,0.059532442372195384
5.0%~10.0%,0.16119158328922203
10.0%~15.0%,0.0130023640661938
15.0%~20.0%,0.1899747262005054
20.0%~25.0%,0.17288080811094678
25.0%~30.0%,0.13015400503350197
30.0%~35.0%,0.24308919059033304
35.0%~40.0%,0.26867280439332014
40.0%~45.0%,0.19582845908761362
45.0%~50.0%,0.1446926324396381
50.0%~55.0%,0.26827992314334503
55.0%~60.0%,0.3718538855502946
60.0%~65.0%,0.2371640838107065
65.0%~70.0%,0.3564011837556898
70.0%~75.0%,0.1592610040446892
75.0%~80.0%,0.2874855221062302
80.0%~85.0%,0.31293958201484495
85.0%~90.0%,0.2566520510494672
90.0%~95.0%,0.49254294737487053
95.0%~100.0%,0.23509868301583672
