belonging,Lng,Lat,Cid,followers,totalPrice,price,square,livingRoom,drawingRoom,kitchen,bathRoom,buildingType,constructionTime,renovationCondition,buildingStructure,ladderRatio,elevator,fiveYearsProperty,subway,district,communityAverage,year,month,day,floor_num,relativeHeight,house_cnt,mall_cnt
3,116.555729,40.162058,1111027379605.0,11.635294117647058,194.16294117647055,22677.117647058825,85.37641176470588,1.876470588235294,1.3705882352941177,0.9941176470588236,1.3823529411764706,3.4176470588235293,2009.0,2.2294117647058824,2.3176470588235296,0.3993176470588235,0.0,0.288235294117647,0.0,13.0,44235.0,2014.2823529411764,6.676470588235294,16.264705882352942,8.288235294117648,1.8235294117647056,170.0,2.0
4,116.42459556768884,40.12692519670905,1111028314778.498,24.51458489154824,260.13994016454745,27669.44427823485,97.44793567688856,2.197456993268512,1.379207180254301,1.0,1.2640239341810022,3.994764397905759,2000.9663425579656,2.81226626776365,2.3171278982797308,0.4618556469708302,0.0516080777860882,0.6679132385938669,0.0,6.0,35996.07928197457,2015.4846671652956,6.670157068062827,16.67763649962603,6.080777860882573,2.320867614061332,1337.0,2.0
5,116.55753318882604,40.10269536987271,1111028334622.8877,15.805516265912306,299.0563649222065,29899.97312588402,103.0130198019802,2.282885431400283,1.2984441301272984,0.9504950495049505,1.4186704384724187,3.507779349363508,2004.2446958981611,2.398161244695898,4.379066478076379,0.4306548797736916,0.5919377652050919,0.5141442715700142,0.4702970297029702,13.0,46924.14427157002,2014.81117397454,6.634370579915134,16.282178217821784,8.357850070721359,2.181046676096181,1414.0,1.0
6,116.42984593763072,40.080456903308615,1111028052281.5083,16.370222475755845,277.68901882487165,24723.336185586613,117.93705837611714,2.3437915953603348,1.353489256512645,1.0,1.528807758128922,3.213823920897509,2002.9536984217527,2.556189389617798,3.0631298725993537,0.4208714584521771,0.5230081764594029,0.6068644228940864,0.3301007796158965,6.009412435824301,38433.459307853205,2014.675603726944,6.66029663434113,16.289979083475945,12.98716486023959,2.1392850351777906,10518.0,3.0
9,116.67180774803148,40.20991499212598,1111027377879.9922,6.535433070866142,202.84881889763776,22966.181102362203,88.0687401574803,2.795275590551181,1.937007874015748,1.0236220472440944,1.5748031496062993,4.0,2008.0,2.125984251968504,5.968503937007874,0.351511811023622,0.984251968503937,0.2519685039370078,0.0,13.0,43404.07874015748,2014.1968503937007,5.9763779527559056,14.881889763779528,6.0,2.31496062992126,127.0,1.0
11,116.679737,40.219508,1111046920919.0,34.0,312.5,23752.5,130.43,3.0,2.0,1.0,2.0,4.0,2013.0,2.0,6.0,0.5,1.0,0.0,0.0,13.0,27425.0,2016.0,5.5,12.0,8.0,3.5,2.0,1.0
25,116.70038625178148,39.94120390498813,1111027381539.7412,14.342042755344416,236.1650831353919,26255.12826603325,92.05106888361044,2.0641330166270784,1.2636579572446556,1.0,1.180522565320665,3.855106888361045,2004.8669833729216,2.584323040380048,2.98812351543943,0.4466413301662708,0.1567695961995249,0.6342042755344418,0.0,11.0,40733.71496437055,2014.6793349168647,6.3729216152019,16.446555819477435,6.75771971496437,2.197149643705463,421.0,1.0
26,116.703713,39.95821,1111027379259.0,5.912133891213389,204.03849372384937,19428.79079497908,105.00857740585774,3.0,1.209205020920502,1.0,1.0125523012552302,4.0,1993.9832635983264,2.2594142259414225,2.317991631799164,0.5,0.0,0.7405857740585774,0.0,11.0,32117.0,2014.418410041841,6.644351464435147,16.184100418410043,6.0,2.100418410041841,239.0,0.0
27,116.5980444885399,40.055010930390495,1111027378199.776,11.924448217317488,180.1752546689304,24881.60483870968,73.98915534804755,2.163412563667233,1.1120543293718166,0.9978777589134126,1.0988964346349746,3.8556876061120544,1991.457130730051,2.274617996604414,2.487266553480475,0.4157716468590832,0.0585738539898132,0.6757215619694398,0.0509337860780984,8.930390492359932,38386.51315789474,2014.8204584040748,6.66213921901528,16.580220713073004,6.089983022071308,2.326400679117148,2356.0,5.0
28,116.63426201767678,40.032168104797975,1111027381751.832,10.656565656565656,171.52323232323232,21475.81691919192,88.93988636363636,1.9898989898989896,1.2247474747474747,1.0012626262626263,1.202020202020202,3.8446969696969697,1999.042929292929,2.5416666666666665,2.2133838383838382,0.4306477272727272,0.0,0.7159090909090909,0.0,13.0,34179.479797979795,2015.0290404040404,6.613636363636363,16.79419191919192,6.295454545454546,2.1515151515151514,792.0,1.0
51,116.1343602631579,40.24403263157895,1111059521048.4736,65.63157894736842,183.02631578947367,29704.105263157893,65.17,1.8421052631578947,1.105263157894737,1.0,1.0,4.0,1993.421052631579,3.210526315789474,2.1578947368421053,0.4559999999999999,0.0,0.7368421052631579,0.0,6.0,27760.157894736843,2016.842105263158,5.631578947368421,16.36842105263158,5.578947368421052,2.473684210526316,19.0,1.0
79,116.31876424210526,39.63121545263158,1111031350936.1685,20.93684210526316,302.76631578947365,22246.86315789473,143.20410526315789,2.9368421052631577,1.7263157894736842,1.0,1.9052631578947368,2.8526315789473684,2009.378947368421,2.642105263157895,5.88421052631579,0.3410947368421053,0.5157894736842106,0.1789473684210526,0.0,4.0,31270.75789473684,2015.4526315789476,6.71578947368421,16.94736842105263,10.821052631578947,1.936842105263158,95.0,0.0
83,116.19021618666666,39.76667242567901,1111040478812.3245,24.17037037037037,266.2702716049383,29536.934320987653,91.01958024691358,2.208395061728395,1.1871604938271605,0.9995061728395062,1.1323456790123456,3.269629629629629,2010.2607407407409,3.3619753086419752,5.494320987654321,0.4455550617283951,0.8360493827160493,0.2034567901234568,0.3624691358024691,5.0,36770.55901234568,2016.110617283951,6.729876543209876,17.405925925925924,14.22716049382716,2.1422222222222222,2025.0,5.0
84,116.5459657992565,39.81500667657993,1111034133462.2043,18.308550185873607,326.742750929368,34591.04460966543,96.1978066914498,2.3643122676579926,1.4014869888475836,0.9925650557620818,1.204460966542751,3.9442379182156135,2010.810408921933,2.6319702602230484,5.933085501858736,0.4525650557620818,0.6802973977695167,0.174721189591078,0.0,5.899628252788104,49198.92565055762,2015.2453531598512,6.174721189591078,17.074349442379184,9.41263940520446,2.104089219330855,269.0,6.0
85,116.4942016948436,39.797469846153845,1111028617279.7422,16.927303465765004,272.736517328825,31281.687235841084,87.10262045646661,1.9158918005071848,1.1931530008453086,0.9978867286559594,1.2882502113271344,2.9683009298393914,2005.050718512257,2.6682163989856296,4.907016060862214,0.3826483516483516,0.6593406593406593,0.4953508030431107,0.441251056635672,3.172020287404903,47416.31149619611,2015.0866441251055,6.453930684699915,16.62975486052409,13.361792054099746,2.2362637362637363,2366.0,7.0
86,116.54513014855571,39.75160674277854,1111029941197.659,16.082530949105916,239.9554332874828,23318.93122420908,104.20059147180191,2.5199449793672626,1.5543328748280605,1.0,1.3397524071526823,3.845942228335626,2008.565337001376,2.730398899587345,5.658872077028886,0.5480165061898212,0.7290233837689133,0.3603851444291609,0.0,8.23796423658872,34799.477303989,2015.0440165061896,6.574965612104539,15.548830811554334,13.71939477303989,2.0508940852819806,727.0,4.0
116,116.7026698724083,39.91634527671452,1111030475045.1675,11.389952153110048,287.9918660287081,33890.63237639554,88.32129984051036,1.9992025518341308,1.4728867623604465,0.9992025518341308,1.3269537480063796,3.011164274322169,2006.8405103668265,2.672248803827751,4.871610845295056,0.4199736842105263,0.69377990430622,0.4585326953748006,0.3173843700159489,11.0,53927.32296650718,2014.7041467304623,6.421052631578948,16.437001594896334,13.241626794258371,2.025518341307815,1254.0,0.0
120,116.65793712623596,39.91028742326967,1111027940015.1943,13.067316808885275,231.5131518352973,27655.047947988623,85.98306921305702,1.9382364892320196,1.2637139374238116,1.0012190166598944,1.2053365840444263,3.373425436814303,2002.4636326696464,2.549641067316809,3.931193281863741,0.4223754571312474,0.4510361641609102,0.7180008126777733,0.4171745902749559,10.852092645266152,43237.70743600163,2014.4863876472975,6.573073276445889,16.449139916023295,11.29134498171475,2.1943654341053773,7383.0,16.0
121,116.38896213822892,40.0533946112311,1111027375700.2375,17.52267818574514,355.72597192224623,39494.14524838013,91.57483261339092,2.0199784017278617,1.3704103671706265,1.005939524838013,1.2386609071274295,3.6079913606911447,2005.5529157667384,2.5615550755939527,4.344492440604752,0.4659233261339093,0.5367170626349892,0.5615550755939525,0.2532397408207343,7.332613390928726,62330.15820734341,2014.4638228941683,6.561015118790497,16.035097192224622,11.013498920086391,2.159827213822894,1852.0,3.0
122,116.35765969123683,40.08265644699269,1194333034071.818,16.088345529180796,290.73922898447256,31328.46207388899,96.30684365518472,2.27003391040514,1.2912725325718366,0.999375334642156,1.2654827770837052,3.7350526503658754,2003.1688381224344,2.6531322505800463,3.239514545779047,0.4412376405497055,0.2266642869891129,0.6385864715331072,0.6489380688916652,6.151882919864359,47079.34633232197,2014.7375513117968,6.675174013921113,16.31500981616991,8.041049437801178,2.221666964126361,11206.0,3.0
123,116.32513225027164,40.07323511082941,1238566229475.8215,18.78721477725462,328.5819087287215,35723.6593625498,93.69783955088737,2.152118797537124,1.319268381021369,0.9954726548352046,1.1986599058312206,3.5383918869974647,2004.038210793191,2.7073524085476275,4.258964143426295,0.479921043100326,0.5427381383556682,0.6374501992031872,0.4663165519739224,6.27345164795364,49516.38898949656,2014.9934806229628,6.628033321260413,16.105396595436435,12.934444042013762,2.1441506700470843,5522.0,7.0
125,116.116904,39.910865,1111047727551.0,13.182926829268292,401.4073170731708,39329.20731707317,101.84121951219512,2.304878048780488,1.0853658536585369,0.8780487804878049,1.2439024390243902,4.0,2012.0,3.182926829268293,6.0,0.4816463414634146,1.0,0.0,0.024390243902439,12.0,46120.0,2016.060975609756,6.646341463414634,18.07317073170732,20.76829268292683,2.182926829268293,82.0,1.0
126,116.111318,39.949921,1111027377794.0,6.465968586387435,229.4979057591623,23350.03664921466,98.53083769633508,2.130890052356021,1.2670157068062826,0.4345549738219895,1.18848167539267,4.0,2005.565445026178,3.450261780104712,2.900523560209424,0.4712041884816754,0.1151832460732984,0.2984293193717277,0.0,12.0,36923.24607329843,2013.8324607329844,6.329842931937173,14.12565445026178,6.654450261780105,2.261780104712042,191.0,3.0
127,116.3403161346685,39.78706586498619,1111031905948.614,11.636740331491712,290.1534185082873,31955.46995856353,91.6707700276243,2.112914364640884,1.4129834254143647,0.9972375690607734,1.227900552486188,3.429558011049724,2005.529005524862,2.481353591160221,4.227900552486188,0.4532109806629834,0.5262430939226519,0.4043508287292817,0.6484806629834254,4.0,49337.56595303868,2014.6864640883975,6.405386740331492,16.1253453038674,12.63846685082873,2.119129834254144,2896.0,2.0
128,116.43990002999676,39.805018147375286,1111027946372.9814,14.578415389631562,242.5053472448647,28965.592761656342,84.8843495272253,2.0502119334854907,1.2722530159765242,1.000652103032279,1.1480273883273555,3.850668405608086,2000.908705575481,2.4512552983371374,3.576133029018585,0.4406250407564395,0.2041082491033583,0.6843821323769156,0.0616237365503749,3.3198565373328988,43232.35898271927,2014.682099771764,6.515487447016628,16.235735246168893,7.100423866970981,2.265405934137594,3067.0,4.0
129,116.67331010322316,39.87805474663403,1111027916513.3618,11.083639330885353,220.8931048551612,27243.72786617707,82.95303549571604,1.8412892696858425,1.2492860057119544,0.999592003263974,1.1619747042023665,3.50999592003264,2006.481844145247,2.5699714402284783,5.099959200326397,0.414827825377397,0.6560587515299877,0.5324357405140759,0.2766217870257038,11.0,45496.611587107305,2014.499796001632,6.517339861281109,16.58873929008568,12.895960832313342,2.1595267237862097,2451.0,4.0
130,116.33193275249944,39.747192523883584,1111030263379.63,16.25461008664741,261.48626971784046,32507.183736947343,82.51261497445013,2.1832926016440792,1.2779382359475673,1.0002221728504777,1.2446123083759164,3.673405909797823,2003.0479893357035,2.473005998666963,4.337258387025106,0.4288289269051322,0.5263274827816041,0.466118640302155,0.7249500111086425,4.0,45673.54321261942,2014.955343257054,6.513441457453899,16.649411241946233,12.184847811597423,2.208842479449012,4501.0,27.0
131,116.14702904814814,39.72813267407407,1111028032509.6814,29.742592592592597,214.32666666666665,24962.12777777778,88.99988888888889,1.8685185185185185,1.0407407407407407,0.9962962962962963,1.1666666666666667,3.55925925925926,2008.203703703704,3.109259259259259,5.633333333333334,0.3110555555555555,0.8759259259259259,0.4018518518518518,0.5277777777777778,5.0,33190.066666666666,2016.0574074074077,6.496296296296296,17.057407407407407,12.696296296296296,2.2092592592592597,540.0,7.0
132,116.151387,40.151709,1111027375742.0,14.25,255.225,26938.5,97.2725,2.125,1.125,1.0,1.125,4.0,2006.375,2.5,4.25,0.5,0.0,0.625,0.0,6.0,33339.0,2016.25,5.125,15.5,6.0,2.125,8.0,1.0
133,116.26857798932927,40.16341913109756,1111028626599.2683,26.73628048780488,216.4568597560976,35710.21493902439,63.96564024390244,1.9390243902439024,0.8201219512195121,0.9939024390243902,1.0442073170731707,3.94969512195122,2007.3003048780488,3.0853658536585367,5.390243902439025,0.357810975609756,0.7850609756097561,0.1996951219512195,0.0,6.0,43274.85670731707,2016.030487804878,7.125,16.704268292682926,14.864329268292684,2.1128048780487805,656.0,3.0
134,116.27331711111113,40.12410102380952,1111044308988.762,28.03174603174603,304.9214285714286,37837.49206349206,80.45809523809524,2.1825396825396823,1.253968253968254,1.0,1.0238095238095235,3.992063492063492,2010.746031746032,2.880952380952381,5.73015873015873,0.5636111111111111,0.9126984126984128,0.0476190476190476,0.0,6.0,46517.31746031746,2016.15873015873,6.349206349206349,15.904761904761903,15.428571428571429,1.9365079365079363,126.0,0.0
136,116.651425,39.843737,1111063141176.0,41.125,286.85,45186.25,63.50625,1.75,1.0,1.0,1.0,4.0,2014.375,3.125,6.0,0.281125,0.0,0.0,0.0,11.0,37701.0,2016.75,5.75,24.75,12.0,3.375,8.0,0.0
141,116.07400025,39.672410375,1111048181360.9375,31.541666666666668,225.30625,24810.229166666668,92.10979166666668,2.270833333333333,1.2291666666666667,1.0,1.1458333333333333,3.9583333333333335,2010.7708333333333,2.645833333333333,5.125,0.5069374999999999,0.0,0.0625,0.0,5.0,27798.14583333333,2016.6041666666667,5.395833333333333,17.3125,11.916666666666666,2.1666666666666665,48.0,2.0
142,116.08164600000002,39.720928,1111055565875.0,36.44444444444444,233.4777777777778,26771.777777777777,88.95777777777778,1.6666666666666667,1.3333333333333333,1.0,1.2222222222222223,4.0,2011.0,3.0,6.0,0.4352222222222222,1.0,0.1111111111111111,1.0,5.0,30520.0,2016.3333333333333,7.555555555555555,12.444444444444445,13.77777777777778,2.4444444444444446,9.0,1.0
147,116.3281272437811,39.67646365671642,12066617059191.393,17.47761194029851,325.72487562189053,36677.42786069652,88.0955223880597,2.656716417910448,1.2985074626865671,1.0049751243781095,1.2885572139303485,4.0,2014.0,2.393034825870646,6.0,0.5149253731343284,1.0,0.0,1.0,4.0,43656.10447761194,2016.273631840796,6.721393034825871,17.572139303482587,26.63681592039801,2.0646766169154227,201.0,0.0
148,116.423115,39.676405,1111027381935.0,30.26086956521739,240.2826086956522,27919.478260869564,86.30130434782609,2.0,1.0434782608695652,1.0,1.1304347826086956,4.0,2011.9130434782608,2.5217391304347827,5.739130434782608,0.4854347826086957,0.0434782608695652,0.0,0.0,4.0,26169.0,2016.5217391304348,5.260869565217392,13.695652173913045,5.956521739130435,2.217391304347826,23.0,0.0
149,116.350548,39.74513611869436,1111027376965.8325,13.210089020771512,184.5992284866469,24824.306231454008,75.45676557863501,2.1086053412462906,1.1103857566765578,1.0,1.0433234421364983,3.851038575667656,1995.873590504451,2.3026706231454006,2.5281899109792283,0.4592700296735905,0.1115727002967359,0.769139465875371,0.3323442136498516,4.0,36810.83204747774,2014.5833827893173,6.588724035608308,16.258753709198814,6.8142433234421365,2.343026706231454,1685.0,0.0
167,116.68619383246072,40.12477511692845,1111027378642.3735,3.783595113438045,193.00977312390927,19155.71029668412,97.23549738219896,2.2129144851657943,1.3141361256544504,1.0017452006980805,1.2705061082024434,3.7417102966841194,1997.3996509598603,1.888307155322862,2.4886561954624784,0.4725130890052356,0.212914485165794,0.6719022687609075,0.0,13.0,36053.92670157068,2013.5811518324608,6.270506108202444,15.783595113438045,7.776614310645725,2.452006980802792,573.0,0.0
