belonging,Lng,Lat,Cid,followers,totalPrice,price,square,livingRoom,drawingRoom,kitchen,bathRoom,buildingType,constructionTime,renovationCondition,buildingStructure,ladderRatio,elevator,fiveYearsProperty,subway,district,communityAverage,year,month,day,floor_num,relativeHeight,buildingType_towel,buildingType_bungalow,buildingType_comb,buildingType_plate,house_cnt,mall_cnt
3,116.555729,40.162058,1111027379605.0,32.5,352.825,44780.25,79.30666666666667,1.75,1.1666666666666667,1.0,1.5,3.333333333333333,2009.0,3.25,2.1666666666666665,0.3886666666666666,0.0,0.4166666666666667,0.0,13.0,44235.0,2017.0,3.0,12.75,8.75,1.5833333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,12.0,2.0
4,116.4248708133803,40.12533105633803,1111028597708.852,55.482394366197184,374.4471830985916,38891.369718309856,101.21640845070422,2.278169014084507,1.4366197183098592,0.9964788732394366,1.3204225352112675,3.992957746478873,2001.2640845070423,3.309859154929577,2.352112676056338,0.4661866197183098,0.0669014084507042,0.6091549295774648,0.0,6.0,36024.54929577465,2017.0,5.376760563380282,16.390845070422536,6.190140845070423,2.2922535211267605,0.0,0.0,0.0070422535211267,0.9929577464788732,284.0,2.0
5,116.5573568736842,40.10148615789473,1111028685174.6106,52.29473684210527,476.6694736842105,51341.26315789474,97.24294736842106,2.168421052631579,1.068421052631579,0.9526315789473684,1.4,3.3421052631578947,2005.7,3.205263157894737,4.91578947368421,0.3909947368421053,0.7263157894736842,0.4631578947368421,0.5421052631578948,13.0,47795.08421052632,2017.0,5.178947368421053,15.463157894736842,9.078947368421051,2.131578947368421,0.0210526315789473,0.0,0.5947368421052631,0.3842105263157894,190.0,1.0
6,116.43080647747094,40.078944733284885,1111028632430.428,53.26962209302326,455.9023982558139,41521.98764534884,115.61072674418604,2.318313953488372,1.2674418604651163,0.998546511627907,1.5181686046511629,3.1882267441860463,2003.1969476744189,3.3989825581395348,3.127906976744186,0.4233161337209302,0.5116279069767442,0.659156976744186,0.2892441860465116,6.030523255813954,39551.33720930233,2017.0,5.296511627906977,16.511627906976745,13.117732558139537,2.120639534883721,0.251453488372093,0.0,0.0574127906976744,0.6911337209302325,1376.0,3.0
9,116.671947,40.2099095,1111027377880.125,31.0,378.0,37746.625,107.56625,2.25,1.5,1.0,1.25,4.0,2008.0,3.625,6.0,0.374875,1.0,0.375,0.0,13.0,42896.5,2017.0,3.875,12.25,6.0,2.25,0.0,0.0,0.0,1.0,8.0,1.0
25,116.697343234375,39.942201421875,1111027381886.75,43.3125,424.3453125,47618.25,89.67390625,2.109375,1.078125,1.0,1.140625,3.546875,2006.984375,3.46875,4.125,0.350765625,0.515625,0.34375,0.0,11.0,41684.4375,2017.0,4.5625,16.65625,8.140625,2.015625,0.0,0.0,0.453125,0.546875,64.0,1.0
26,116.703713,39.95821,1111027379259.0,25.9,379.81666666666666,36161.6,105.02466666666666,3.0,1.5666666666666669,1.0,1.0,4.0,1994.0,3.0,2.2,0.5,0.0,0.7,0.0,11.0,32117.0,2017.0,5.6,16.3,6.0,1.8333333333333333,0.0,0.0,0.0,1.0,30.0,0.0
27,116.59760254761903,40.05544886734694,1111027378328.4014,43.38095238095238,280.4091836734694,40475.76530612245,70.85833333333333,2.1020408163265305,1.108843537414966,1.0,1.0714285714285714,3.894557823129252,1990.874149659864,2.8197278911564627,2.346938775510204,0.4182312925170068,0.0510204081632653,0.5714285714285714,0.0782312925170068,8.877551020408163,38144.34693877551,2017.0,5.428571428571429,17.29591836734694,6.057823129251701,2.272108843537415,0.0238095238095238,0.0,0.0340136054421768,0.9421768707482994,294.0,5.0
28,116.634070092437,40.031972008403365,1111027381750.7563,38.69747899159664,256.26050420168065,37946.15966386555,78.91924369747899,1.7983193277310925,0.9663865546218487,1.0,1.1428571428571428,3.92436974789916,1998.9915966386557,3.033613445378151,2.100840336134454,0.3956470588235294,0.0,0.5630252100840336,0.0,13.0,35953.39495798319,2017.0,5.025210084033613,15.932773109243698,6.243697478991597,2.1512605042016806,0.0252100840336134,0.0,0.0,0.9747899159663864,119.0,1.0
51,116.13258475,40.24489275,1111060952694.3125,76.1875,188.03125,32059.5625,60.565,1.8125,1.0625,1.0,1.0,4.0,1991.125,3.125,2.0,0.44775,0.0,0.6875,0.0,6.0,28064.9375,2017.0,5.6875,16.125,5.5625,2.375,0.0,0.0,0.0,1.0,16.0,1.0
79,116.31857044444445,39.63345469444445,1111034552069.0833,45.97222222222222,426.3333333333333,32221.972222222223,135.6475,2.9722222222222223,1.6111111111111112,1.0,1.8888888888888888,2.9444444444444446,2011.638888888889,3.4444444444444446,5.888888888888889,0.3896388888888889,0.6111111111111112,0.0555555555555555,0.0,4.0,31658.63888888889,2017.0,6.611111111111111,17.11111111111111,9.916666666666666,2.333333333333333,0.3333333333333333,0.0,0.0555555555555555,0.6111111111111112,36.0,0.0
83,116.19130053602812,39.76720491739894,1111042462931.9368,41.96836555360281,348.51318101933214,39451.96133567663,87.92859402460458,2.154657293497364,1.094903339191564,0.9964850615114236,1.119507908611599,3.2214411247803163,2010.8330404217927,3.5536028119507908,5.57469244288225,0.4355729349736379,0.8418277680140598,0.1810193321616871,0.3866432337434095,5.0,37097.40597539543,2017.0,5.355008787346222,16.622144112478033,14.72231985940246,2.107205623901581,0.1898066783831282,0.0,0.2091388400702987,0.6010544815465729,569.0,5.0
84,116.5672969390244,39.79710848780488,1111042777193.2195,41.4390243902439,406.5,46109.19512195122,88.69231707317074,2.3292682926829267,1.2439024390243902,0.9878048780487804,1.0853658536585369,3.975609756097561,2012.439024390244,3.548780487804878,6.0,0.3911829268292682,0.4268292682926829,0.2682926829268293,0.0,8.182926829268293,43617.07317073171,2017.0,5.121951219512195,17.951219512195124,12.817073170731708,2.024390243902439,0.0,0.0,0.024390243902439,0.975609756097561,82.0,6.0
85,116.49622473641304,39.796425157608695,1111029936261.883,39.61141304347826,414.723097826087,47516.19293478261,85.99513586956522,1.875,1.0842391304347827,1.002717391304348,1.2771739130434785,3.0597826086956523,2005.6521739130435,3.255434782608696,4.760869565217392,0.4038559782608695,0.6630434782608695,0.3940217391304347,0.4347826086956521,3.1630434782608696,46876.13858695652,2017.0,4.961956521739131,15.940217391304348,13.442934782608695,2.1494565217391304,0.2364130434782608,0.0,0.2309782608695652,0.532608695652174,368.0,7.0
86,116.5461771439394,39.75167601515152,1111033974468.9622,56.71212121212121,341.0,35617.28787878788,95.67340909090908,2.234848484848485,1.2348484848484849,1.0,1.303030303030303,3.659090909090909,2008.4469696969695,3.4166666666666665,5.575757575757576,0.4760530303030303,0.6363636363636364,0.6060606060606061,0.0,8.575757575757576,32896.93939393939,2017.0,7.409090909090909,15.734848484848484,14.643939393939394,1.9924242424242424,0.0,0.0,0.3409090909090909,0.6590909090909091,132.0,4.0
116,116.70213402083333,39.91627901388889,1111032221872.069,47.020833333333336,534.5125,61897.083333333336,87.24611111111112,2.0,1.2708333333333333,1.0,1.3263888888888888,3.013888888888889,2007.2291666666667,3.2569444444444446,5.041666666666667,0.4080069444444444,0.7430555555555556,0.4791666666666667,0.2152777777777778,11.0,54256.97916666666,2017.0,5.1875,15.305555555555555,13.395833333333334,1.8472222222222223,0.1319444444444444,0.0,0.5902777777777778,0.2777777777777778,144.0,0.0
