,name,longitude,latitude,belonging
0,1733商业空间,116.407387,39.904179,323
2,BHG Mall(公益西桥店),116.311151,40.029084,257
3,BHG Mall北京华联亦庄购物中心,116.50193,39.80546,85
4,BHG Mall北京华联购物中心(天时名苑店),116.311258,40.028684,257
5,BOM嘻番里,116.353832,40.001771,258
6,KALCITY能量城市,116.280921,39.953787,274
7,NTP新城广场,116.421973,39.868456,306
8,New World Shopping Mall,116.4177847,39.8966993,214
9,Plus365购物中心(门头沟店),116.595752,39.912366,238
10,SOGO新馆,116.375389,39.896475,203
11,SOLANA蓝色港湾,116.475922,39.949382,233
12,T+MALL,116.454751,39.932155,229
13,THE BOX朝外年轻力中心,116.444814,39.923495,225
14,TONGLI MARKET同里市集,116.697863,39.942789,25
15,The Place,116.4717659,39.91364069999999,225
16,西单民族商场,116.3761846,39.9104099,201
17,k酷时尚广场,116.420089,40.032862,235
18,一起来生活MALL,116.242945,40.220191,174
19,七棵树商场,116.094355,39.953457,126
20,万优汇Unit One,116.414299,40.055948,235
21,万德福广场,117.093136,40.147772,157
22,万意百货(回龙观店),116.334808,40.079674,123
23,万意百货商场广场,116.636522,39.905658,120
24,万泽经海广场,116.562726,39.782265,84
25,万科广场(旧宫店),116.264973,39.882346,288
26,万科时代中心(朝阳路店),116.484326,39.990909,325
27,万达广场,116.298886,39.824598,290
28,万达广场(CBD店),116.225303,39.906431,284
29,万鑫佰隆购物商城,116.591607,39.916911,238
30,万龙商场(安立路店),116.408166,39.993585,260
31,三旗百汇商品城,116.340144,40.061358,257
32,三旗百汇商品城-三厅,116.34137,40.062464,257
33,三羊生活广场,116.523935,39.821879,85
34,三里屯SOHO,116.453502,39.932257,229
35,三里屯太古里,116.452962,39.934474,229
36,上品+(城市奥莱店),116.358333,39.850955,294
37,上品+互联网社区奥莱(草桥店),116.290609,39.844952,290
38,上品宜购城市奥莱,116.41745,40.031125,235
39,上海沙龙新天地天宝商业中心,116.498734,39.791723,85
40,世界之花假日广场,116.422891,39.820155,128
41,世纪园商城(商业街店),116.634772,40.314286,172
42,世纪天鼎购物广场,116.401764,39.89162,212
43,世纪家家福生活广场(和义店),116.402825,39.813541,128
44,世纪金源购物中心,116.288301,39.958603,273
